,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3)
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,1.08,12.86,13.01,0.2,17.27,29.86,18.56,0.29,4.2,0.0,0.0,,,89.67,0.98,174.18,113.76,,
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,2.96,14.61,13.2,0.19,17.56,30.65,19.05,0.32,4.09,0.0,0.0,,,91.29,1.2,127.22,100.47,,
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,,9.78,12.7,0.25,16.87,31.62,19.43,0.27,4.31,0.0,0.0,,,89.95,1.53,134.7,101.67,,
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,1.03,12.61,12.83,0.42,17.21,30.72,19.49,0.29,4.44,0.0,0.0,,,89.5,1.37,129.34,133.28,,
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,,9.26,12.52,0.19,16.53,30.93,19.53,0.26,4.22,0.0,0.0,,,91.03,0.96,178.41,80.55,,
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,,2.07,12.33,0.1,16.03,30.75,19.0,0.23,4.22,0.0,0.0,,,99.07,0.99,123.01,0.5,,
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,4.97,18.38,12.6,0.26,16.89,,24.13,0.36,4.37,0.0,,,,,,,,,
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,2.44,14.18,12.15,0.41,16.38,,13.0,0.26,5.42,0.0,,,,,,,,,
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,5.35,17.51,12.2,0.54,16.5,,1.83,0.28,5.21,0.0,0.0,,,,,,,,
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,6.22,19.5,12.18,0.33,16.34,,2.26,0.32,2.57,0.0,,,,,,,,,
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,4.36,17.5,12.09,0.42,16.35,,2.23,0.29,0.88,0.0,0.0,,,,,,,,
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,2.48,6.83,11.93,0.16,15.54,,1.38,0.26,0.44,0.0,,,,,,,,,
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,2.15,12.21,12.28,0.77,16.96,,3.93,0.24,2.4,0.0,,,,,,,,,
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,26.06,49.91,11.8,0.71,16.25,,2.66,0.34,2.89,0.0,,,,,,,,,
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,22.67,46.37,11.87,0.58,16.26,,3.34,0.33,1.89,0.0,,,,,,,,,
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,29.1,59.39,11.86,0.52,16.15,,4.07,0.37,1.48,0.0,,,,,,,,,
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,36.9,64.16,11.87,0.61,16.21,,3.84,0.38,1.85,0.0,,,,,,,,,
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,27.26,46.58,11.85,0.54,16.15,,4.06,0.31,1.81,0.0,,,,,,,,,
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,32.73,47.76,11.76,0.15,15.62,,3.68,0.26,1.61,0.0,,,,,,,,,
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,22.8,40.59,12.1,0.51,16.5,,4.3,0.31,1.29,0.0,,,,,,,,,
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,5.94,13.16,12.0,0.63,16.43,18.28,4.46,0.22,2.1,0.0,,,,,,,,,
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,3.45,13.96,11.95,0.57,16.28,22.94,4.8,0.19,2.88,0.0,,,,,,,,,
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,2.08,12.73,12.16,0.27,16.29,20.14,4.81,0.22,1.43,0.0,,,,,,,,,
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,4.08,15.91,12.1,0.66,16.14,20.28,3.36,0.23,2.47,0.0,0.0,,,,,,,,
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,4.17,18.13,12.09,0.31,16.29,17.21,1.57,0.27,0.03,0.0,,,,,,,,,
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,2.1,10.53,11.88,0.1,15.69,21.26,2.05,0.21,0.03,0.0,,,,,,,,,
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,3.15,17.17,12.23,0.23,16.33,23.86,1.84,0.23,0.92,0.0,,,,,,,,,
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,2.54,14.29,12.29,0.59,16.78,18.4,2.02,0.26,1.12,0.0,0.0,,,,,,,,
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,2.35,11.48,12.17,0.34,16.41,18.67,1.96,0.24,0.69,0.0,,,,,,,,,
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,2.82,13.36,12.26,0.45,16.61,18.87,2.33,0.26,0.6,0.0,,,,,,,,,
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,6.43,20.58,11.85,0.51,16.13,17.3,2.29,0.25,2.11,0.0,,,,,,,,,
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,27.31,46.53,11.84,0.44,16.17,18.98,2.12,0.2,1.7,0.0,,,,,,,,,
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,63.51,86.13,11.81,0.34,15.97,21.74,2.14,0.0,1.8,0.0,,,,,,,,,
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,78.99,111.26,11.83,1.72,15.97,20.42,4.68,0.3,4.23,0.0,0.0,,,,,,,,
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,73.79,103.43,11.81,0.98,16.22,21.4,6.39,0.44,3.68,0.0,0.0,,,,,,,,
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,62.71,97.54,11.77,1.27,16.83,20.46,6.55,0.43,5.78,0.0,0.0,,,,,,,,
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,40.18,65.36,11.89,0.81,16.2,21.2,7.17,0.38,2.12,0.0,0.0,,,,,,,,
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,18.92,33.76,12.02,1.37,17.21,19.58,7.57,0.31,3.08,0.0,,,,,,,,,
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,7.73,24.53,11.98,0.4,12.68,17.54,7.67,0.21,1.05,0.0,0.0,,,,,,,,
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,8.63,17.27,11.76,0.12,11.19,16.32,7.95,0.15,1.09,0.0,0.0,,,,,,,,
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,16.95,36.61,11.96,0.95,8.28,16.74,7.43,0.15,2.5,0.06,0.0,0.01,0.03,,,,,,
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,16.09,32.66,11.8,0.95,10.06,14.91,8.89,0.19,3.5,0.1,0.0,0.04,0.06,39.93,0.63,132.14,,,
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,15.02,35.77,11.96,1.27,15.58,16.03,8.65,0.34,1.19,0.1,0.0,0.08,0.16,39.46,0.63,140.94,,,
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,23.44,44.51,11.81,1.05,16.63,14.87,8.65,0.38,1.59,0.07,,0.13,0.08,39.64,0.54,156.25,,,
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,50.46,81.79,11.82,1.75,17.33,15.21,7.59,0.45,2.5,0.07,,0.1,0.15,57.43,0.77,152.94,,,
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,28.55,48.37,11.85,0.64,16.36,16.21,9.22,0.36,1.37,0.03,,0.12,0.05,49.74,1.03,99.51,,,
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,10.19,20.13,11.77,0.16,15.67,15.83,9.57,0.22,1.47,0.02,,0.07,0.02,36.87,1.05,87.72,,,
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,4.41,17.54,11.82,0.43,16.03,14.99,9.35,0.23,1.59,0.01,,0.09,0.05,40.9,1.34,84.32,,,
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,4.9,18.0,11.87,0.66,16.28,13.87,9.38,0.25,1.8,0.01,,0.09,0.04,46.49,1.2,97.46,,,
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,10.46,24.88,11.9,0.58,16.34,17.61,10.36,0.32,1.07,0.01,,0.13,0.02,60.81,0.98,122.14,,,
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,14.5,27.91,11.84,0.38,16.07,16.69,9.7,0.33,0.76,0.01,,0.06,0.04,56.97,0.77,107.9,,,
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,14.27,23.89,11.69,0.24,15.73,18.19,10.46,0.31,0.85,0.0,,,,47.42,0.67,107.13,,,
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,8.69,20.07,11.75,0.22,15.75,17.31,9.74,0.28,0.74,0.0,,,,43.34,0.69,84.79,,,
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,2.81,6.19,11.56,0.1,15.34,16.25,10.11,0.17,1.84,0.0,,,,27.37,1.04,89.42,,,
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,2.79,7.68,11.79,0.51,15.7,14.51,7.23,0.19,2.03,0.0,0.0,,,29.13,0.76,118.65,,,
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,5.33,16.99,11.83,0.67,15.57,16.32,6.02,0.23,1.03,0.0,0.0,,,33.19,0.69,93.96,,,
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,2.8,12.5,11.86,0.47,15.99,16.62,6.21,0.24,0.76,0.0,0.0,,,29.37,0.83,75.69,,,
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,2.02,11.78,11.63,0.3,15.72,16.41,7.26,0.21,2.1,0.0,,,,30.18,1.01,92.82,,,
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,6.1,14.98,11.62,0.14,15.44,14.67,6.95,0.21,2.48,0.0,,,,36.93,0.99,90.4,,,
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,7.09,16.22,11.75,0.31,15.87,17.66,8.18,0.26,1.61,0.0,,,,44.33,0.82,93.22,,,
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,8.16,15.61,11.77,0.14,15.6,15.97,7.62,0.23,1.12,0.0,,,,44.78,0.8,82.84,,,
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,3.94,13.59,11.76,0.74,16.2,16.36,8.76,0.22,3.53,0.0,,,,24.92,0.92,137.78,,,
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,10.27,20.28,11.95,0.52,16.27,14.1,8.3,0.27,1.93,0.0,,,,34.96,1.02,173.25,,,
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,4.68,18.86,12.01,0.81,16.67,18.77,9.68,0.31,1.46,0.0,,,,39.32,0.82,195.22,,,
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,16.47,35.02,11.98,1.14,15.66,14.75,9.22,0.34,3.9,0.0,0.0,,,43.99,0.6,186.62,,,
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,22.45,40.21,11.66,1.44,16.77,19.47,9.33,0.32,5.11,0.0,,,,44.19,1.08,169.39,,,
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,32.69,54.2,11.73,1.09,16.63,22.58,8.3,0.33,3.21,0.0,,,,43.22,1.04,203.68,,,
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,60.49,88.15,11.64,0.62,16.08,22.73,8.95,0.34,5.54,0.0,,,,58.39,1.24,213.98,,,
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,76.1,109.42,11.76,1.24,16.82,21.44,9.02,0.44,6.03,0.0,,,,73.28,1.0,210.68,,,
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,58.78,89.78,11.83,2.25,17.79,23.57,9.62,0.45,9.63,0.0,,,,70.44,0.86,198.82,,,
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,48.06,76.7,11.82,1.71,17.34,23.78,9.86,0.42,3.27,0.05,,0.02,0.1,63.19,0.85,199.3,,,
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,58.89,90.05,11.78,1.38,16.97,22.73,10.21,0.41,2.88,0.06,,0.03,0.12,64.54,0.86,201.75,,,
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,60.62,90.95,11.85,1.71,17.36,22.5,10.2,0.44,1.93,0.06,0.0,0.02,0.13,69.99,0.94,175.32,,,
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,78.86,114.62,11.76,1.6,17.15,22.78,9.89,0.46,2.17,10.22,,0.01,0.1,72.7,1.05,190.63,,,
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,61.35,84.38,11.76,0.64,16.25,22.8,10.31,0.38,0.94,0.05,,0.03,0.1,69.85,1.2,128.06,,,
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,34.55,58.82,11.89,1.0,16.75,21.88,10.83,0.34,1.73,0.03,,0.03,0.12,67.37,1.74,149.17,,,
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,74.21,105.97,11.79,1.4,17.01,21.1,11.08,0.43,4.25,0.05,,0.01,0.1,72.49,1.51,208.46,,,
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,95.12,135.27,11.79,1.85,17.41,21.82,10.68,0.52,6.32,0.07,,,0.08,75.64,1.54,179.25,,,
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,68.47,101.92,11.88,1.66,15.86,20.82,11.12,0.42,8.33,0.04,0.0,0.02,0.08,71.48,1.54,197.95,,,
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,46.27,73.18,11.88,1.32,15.91,21.81,11.36,0.37,1.3,0.03,0.0,0.03,0.11,65.76,1.18,128.94,,,
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,34.39,57.64,11.76,1.01,16.61,22.67,11.84,0.35,1.97,0.03,,0.03,0.11,57.81,1.21,163.1,,,
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,46.35,70.94,11.75,0.76,16.39,22.0,10.95,0.35,2.53,0.03,,0.02,0.09,57.9,1.22,174.98,,,
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,30.81,56.46,11.84,1.53,16.74,23.18,11.86,0.38,1.87,0.03,0.0,0.02,0.1,57.0,1.17,143.37,,,
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,19.84,43.43,11.8,1.3,16.94,21.56,11.9,0.32,1.27,0.02,,0.03,0.11,47.97,0.98,195.91,,,
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,17.34,40.33,11.8,1.01,16.66,21.6,12.13,0.31,1.64,0.02,,0.02,0.1,55.1,1.79,143.88,,,
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,16.02,35.74,11.98,1.18,17.04,22.14,12.18,0.35,1.68,0.02,,0.03,0.14,57.05,1.7,119.13,,,
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,7.69,25.85,11.9,1.32,17.04,22.24,13.07,0.3,4.42,0.01,,0.03,0.13,52.72,2.01,104.07,,,
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,24.4,45.38,11.85,1.01,16.73,19.09,11.86,0.35,3.46,0.02,,0.03,0.12,,,,,,
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,40.05,65.98,11.78,0.8,16.44,21.6,12.4,0.36,4.61,0.03,,,0.09,,,,,,
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,51.68,82.23,11.87,2.64,18.23,19.2,12.02,0.45,5.93,0.04,,0.02,0.12,45.83,0.82,165.07,,,
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,46.29,78.73,11.88,2.26,17.47,21.15,12.6,0.44,4.28,0.04,0.0,0.03,0.13,63.56,0.98,180.7,,,
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,23.25,44.87,11.9,1.48,17.23,19.99,12.18,0.37,3.64,0.03,0.0,0.02,0.12,50.28,1.43,137.53,,,
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,18.12,42.12,11.85,1.33,15.52,23.44,13.23,0.32,3.78,0.02,0.0,0.02,0.12,44.9,1.39,147.8,,,
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,12.23,33.64,11.89,0.99,12.7,23.74,13.5,0.25,2.79,0.01,0.0,0.02,0.1,44.42,1.09,174.54,,,
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,13.81,39.39,11.87,1.31,12.02,25.05,13.9,0.24,3.22,0.01,0.0,0.02,0.09,50.06,0.98,176.55,,,
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,28.63,56.12,11.73,0.85,14.37,24.45,13.45,0.3,4.11,0.02,0.0,0.02,0.09,60.27,0.87,168.66,,,
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,31.36,56.76,11.79,0.84,15.94,23.4,13.46,0.34,5.54,0.02,0.0,0.01,0.1,61.43,1.14,193.0,,,
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,29.74,63.19,11.8,1.86,15.77,22.21,14.54,0.35,5.96,0.02,0.0,0.02,0.11,58.59,1.8,153.96,,,
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,24.07,60.7,11.83,1.81,17.15,23.83,15.29,0.4,4.76,0.02,0.0,0.04,0.14,54.77,1.64,142.91,,,
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,47.1,90.48,11.71,2.04,17.49,23.06,14.47,0.43,6.37,0.03,0.0,0.04,0.15,56.15,0.96,207.52,,,
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,55.63,100.89,11.7,1.84,17.28,23.58,15.09,0.45,6.75,0.03,0.0,0.04,0.14,58.37,1.0,191.02,,,
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,46.09,83.8,11.75,1.66,17.21,24.32,15.17,0.47,4.57,0.03,0.0,0.04,0.14,56.42,0.86,208.4,,,
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,35.58,68.78,11.69,0.83,6.84,24.69,15.77,0.17,4.47,0.01,0.0,,0.05,52.97,0.78,204.67,,,
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,69.95,121.12,11.72,2.57,17.55,25.2,15.64,0.5,6.48,0.04,0.0,0.03,0.14,56.11,0.66,183.04,,,
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,71.0,117.85,11.66,1.55,16.97,25.46,16.48,0.46,5.01,0.03,,0.03,0.13,49.56,0.91,181.19,,,
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,60.65,111.77,11.73,2.74,12.57,26.85,16.66,0.35,6.07,0.02,0.0,0.02,0.09,51.96,1.46,142.97,,,
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,33.16,53.6,11.75,1.46,16.02,29.28,17.01,0.39,4.08,0.02,0.0,0.03,0.12,38.8,0.98,149.84,,,
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,36.02,73.77,11.76,1.8,12.92,26.45,16.87,0.36,4.53,0.02,0.0,0.02,0.1,44.52,1.3,118.14,,,
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,43.38,82.53,11.77,1.35,16.95,18.5,15.99,0.52,2.59,0.03,,0.03,0.14,,,,,,
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,36.65,55.88,11.63,0.74,16.16,18.1,16.78,0.4,4.23,0.01,,,0.04,,,,,,
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,39.27,63.29,11.73,1.84,15.62,17.31,16.96,0.41,4.65,0.01,0.0,0.02,0.07,,,,,,
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,38.3,66.67,11.63,4.05,16.98,19.75,17.73,0.43,10.45,3.14,0.0,0.01,0.1,27.14,1.16,153.94,,,
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,61.77,111.7,11.59,2.81,17.48,15.56,17.5,0.45,16.59,0.06,0.0,,0.09,,,,,,
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,75.38,132.05,11.59,1.59,16.9,14.41,17.65,0.46,11.48,0.03,,,0.06,,,,,,
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,56.97,115.0,11.6,1.85,17.15,13.26,18.26,0.46,10.94,0.03,,,0.07,,,,,,
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,39.91,80.36,11.58,0.99,16.32,13.06,18.14,0.33,10.41,0.01,,,0.07,,,,,,
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,37.93,79.65,11.54,0.67,15.99,13.47,17.95,0.29,10.98,0.0,,,0.06,,,,,,
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,35.97,76.57,11.63,1.94,17.25,13.44,18.18,0.31,11.72,0.01,0.0,,0.07,,,,,,
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,29.26,83.67,11.65,2.01,13.58,14.42,18.58,0.32,6.19,0.01,0.0,0.01,0.09,,,,,,
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,33.1,94.22,11.61,1.8,17.11,14.17,18.53,0.42,8.59,0.01,0.0,0.02,0.12,,,,,,
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,35.22,88.78,11.57,1.6,16.89,10.01,18.65,0.32,12.38,0.01,0.0,,0.05,,,,,,
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,51.41,132.16,11.56,1.71,16.97,9.8,18.1,0.43,16.83,0.01,,,0.04,,,,,,
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,36.29,84.16,11.59,1.13,16.49,9.61,18.04,0.35,10.76,0.0,,,0.05,,,,,,
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,38.01,64.54,11.58,0.64,15.99,11.55,19.13,0.31,6.69,0.01,,,0.05,,,,,,
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,44.24,84.51,11.62,1.81,17.13,12.88,19.74,0.43,7.12,0.01,,0.01,0.09,,,,,,
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,48.36,90.14,11.6,2.09,16.65,12.22,19.13,0.4,12.13,0.01,0.0,,0.07,,,,,,
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,42.84,81.04,11.58,1.55,16.84,11.86,19.07,0.43,9.72,0.01,0.0,,0.08,,,,,,
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,40.85,83.63,11.64,1.65,16.82,14.3,20.03,0.49,6.27,0.01,0.0,,0.1,,,,,,
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,63.05,119.66,11.69,2.79,17.3,16.7,20.81,0.65,4.72,0.03,0.0,0.01,0.12,,,,,,
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,60.51,121.24,11.55,2.06,17.31,16.91,20.9,0.64,5.0,0.03,,,0.11,,,,,,
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,56.18,102.86,11.5,0.94,16.19,15.76,20.44,0.45,6.7,0.02,,,0.07,,,,,,
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,43.24,83.83,11.58,2.13,17.38,15.24,20.67,0.53,4.82,0.02,,,0.1,,,,,,
